Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken
QuantileRegressor,3.948881960243939e+72,-4.5480752461033474e+73,6.297710264391756e+36,6704.062742948532
SGDRegressor,1.9352748529120056e+24,-2.228928527504445e+25,4408764764428.023,0.2632870674133301
TransformedTargetRegressor,3003.2480905570033,-34577.01565301753,173.64764148630158,1.0892462730407715
LinearRegression,3003.2480905570033,-34577.01565301753,173.64764148630158,1.1697571277618408
LinearSVR,2946.3511531715785,-33921.71231625799,171.99433407678688,5.214055061340332
KernelRidge,2587.6122166347477,-29789.981630198658,161.18004125328648,0.47337985038757324
Ridge,2582.966795182009,-29736.47857153642,161.0352407111933,0.5911550521850586
MLPRegressor,145.45745109819245,-1662.770566123197,38.09040358109387,2.8333308696746826
RidgeCV,121.61830610928295,-1388.2062051119347,34.80584749726823,0.7823150157928467
PassiveAggressiveRegressor,34.324458905817565,-382.8102738071575,18.294778410215837,0.6823499202728271
Lars,10.19251770147107,-104.87366912543708,9.608660255356217,1.168030023574829
BayesianRidge,5.126933238087123,-46.53143571125053,6.438123777178577,2.6374990940093994
TweedieRegressor,4.896357158223978,-43.87580464471863,6.2556865566467,1.8244709968566895
HuberRegressor,2.6237993415955083,-17.701905158221628,4.03842276006519,1.1701979637145996
GaussianProcessRegressor,1.460616421700248,-4.305091837574672,2.1508756797811546,1.6496670246124268
OrthogonalMatchingPursuit,1.1998550800585928,-1.3018058062346802,1.4167825408122237,0.45496392250061035
DummyRegressor,1.0882259485377974,-0.016131291460424135,0.9413340504465263,0.09616422653198242
ElasticNet,1.0882259485377974,-0.016131291460424135,0.9413340504465263,0.14095711708068848
LassoLars,1.0882259485377974,-0.016131291460424135,0.9413340504465263,0.33794116973876953
Lasso,1.0882259485377974,-0.016131291460424135,0.9413340504465263,0.28002285957336426
KNeighborsRegressor,1.0850704701873912,0.02021153448267221,0.9243469593965512,0.23158574104309082
ExtraTreeRegressor,1.0824208837586822,0.05072781369826784,0.9098383401681722,0.4685649871826172
NuSVR,1.0697452119804662,0.19671827282729493,0.8369563325779921,1.941145896911621
SVR,1.0686975645541612,0.20878442059821345,0.8306465599258931,3.4839699268341064
OrthogonalMatchingPursuitCV,1.0624716035671167,0.28049114501656613,0.7921126104428383,2.803497076034546
DecisionTreeRegressor,1.0600465753268833,0.3084211034745452,0.7765862949142975,0.762354850769043
LarsCV,1.058796403143127,0.32281980472606964,0.7684594929288987,27.953267335891724
LassoLarsCV,1.0546959643546021,0.37004609393907983,0.7411792328811809,2.6328651905059814
ElasticNetCV,1.0510777802667919,0.41171807515119563,0.7162450080400034,395.4667880535126
LassoCV,1.0508524170692795,0.41431366749937926,0.714663168484471,362.39187812805176
ExtraTreesRegressor,1.0353603580052135,0.5927415137855141,0.5959419079749044,20.39307713508606
AdaBoostRegressor,1.033361500767059,0.6157631012041044,0.5788531353048005,6.745368957519531
BaggingRegressor,1.0295386272831188,0.6597925668511846,0.544679154764356,3.6677639484405518
RandomForestRegressor,1.0274379060152545,0.6839873604497902,0.5249537983615573,52.245797872543335
XGBRegressor,1.0244996967642759,0.7178278168037271,0.49605057218460313,6.794997930526733
HistGradientBoostingRegressor,1.0208574490615627,0.7597769476809195,0.45769502961279834,12.63051700592041
GradientBoostingRegressor,1.0206284678185678,0.7624142104139476,0.455175718406296,15.291836977005005
LGBMRegressor,1.019440367292707,0.7760980091345744,0.4418733743135083,5.074121952056885
